Linha, Origem, Destino, SaidaHor, SaidaMin, Duração, Veiculo
251
"011","G","T",6,5,35,12
"011","T","T",6,40,40,12
"011","T","T",7,20,40,12
"011","T","T",8,0,40,12
"011","T","T",8,40,40,12
"011","T","T",9,20,40,12
"011","T","T",10,0,40,12
"011","T","T",10,40,40,12
"011","T","T",11,20,40,12
"011","T","T",12,0,40,12
"011","T","T",12,40,40,12
"011","T","T",13,20,40,12
"011","T","T",14,0,40,12
"011","T","T",14,40,40,12
"011","T","T",15,20,40,12
"011","T","T",16,0,40,12
"011","T","T",16,40,40,12
"011","T","T",17,20,40,12
"011","T","T",18,0,40,12
"011","T","T",18,40,40,12
"011","T","G",19,20,45,12
"531","G","T",6,0,20,310
"531","T","T",6,20,45,310
"201","G","T",6,15,15,73
"201","T","T",6,30,80,73
"201","T","G",7,50,15,73
"235","G","T",17,20,15,98
"235","T","T",17,35,65,98
"235","T","T",18,40,70,98
"235","T","G",19,50,45,98
"201","G","T",5,50,10,242
"201","T","T",6,0,80,242
"323","G","T",5,25,45,115
"323","T","T",6,10,50,115
"323","T","T",7,0,60,115
"323","T","T",8,0,70,115
"323","T","T",9,10,80,115
"323","T","T",10,30,80,115
"323","T","T",11,50,80,115
"323","T","T",13,10,80,115
"323","T","T",14,30,75,115
"323","T","T",15,45,75,115
"323","T","T",17,0,75,115
"323","T","T",18,15,75,115
"323","T","G",19,30,15,115
"177","G","T",4,40,50,59
"177","T","T",5,30,60,59
"177","T","T",6,30,60,59
"177","T","T",7,30,60,59
"177","T","T",8,30,60,59
"177","T","T",9,30,60,59
"177","T","T",10,30,60,59
"177","T","T",11,30,60,59
"177","T","T",12,30,60,59
"177","T","T",13,30,60,59
"177","T","T",14,30,60,59
"177","T","T",15,30,60,59
"177","T","T",16,30,60,59
"177","T","T",17,30,60,59
"177","T","T",18,30,60,59
"177","T","T",19,30,60,59
"177","T","T",20,30,60,59
"177","T","T",21,30,60,59
"177","T","T",22,30,60,59
"177","T","T",23,30,55,59
"177","T","G",24,25,35,59
"415","G","T",6,0,65,134
"415","T","T",7,5,90,134
"415","T","T",8,35,90,134
"415","T","T",10,5,90,134
